"","id","title","geography","geography_iso","document_types","sectors","events","documents","description"
"50",8488,"Electric Light and Power Act, 2013 and Electric Light and Power (Amendment) Act, 2015","Barbados","BRB","Law","Energy","09/01/2014|Law passed;25/12/2015|Last amendment","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbG9HIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--468a894a3d01154ad1c4b35e343dfafa20ac9069/f|;Full text - part 2|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbHNHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bbcd2d16a6991a5e90c53e6aa2f33c3f7e54504b/f|","In December 2013, the Barbadian Parliament passed the Electric Light and Power Act (ELPA), thus replacing the 1899 version of the same act. ELPA actualises legal dispositions to electricity supply, distribution and demand while promoting renewable energy and ensuring security of supply.<br />
<br />
The new act liberalises the power sector, as independent power producers are allowed to supply the country alongside the Barbados Light and Power Company under a licensing scheme. Interconnection is promoted.<br />
<br />
ELPA charges the Minister to determine minimum and maximum supply targets. These governmental targets are not included in the act itself. They include an objective of renewable energy share of primary energy to be above 30% by 2020.<br />
<br />
The Electricity Light and (Amendment) Act, 2015 is the current version in force."
"51",8491,"Income Tax (Amendment) Act, 2009","Barbados","BRB","Law","Energy","06/04/2009|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbGNHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3ea5962f24a6ac7e4c2d27a8544e925d3cd876c8/f|","The Barbadian taxation system allows for certain income tax deductions related to the production and use of renewable energy. A deduction of 150 per cent of expenditures on energy audits and electrical retrofitting can be retrieved. For individuals, the deduction cannot exceed BBD $10,000 per year or five years. The deduction is also allowed for training in renewable energy and energy efficient systems for unemployed people under 25 years old."
"52",10179,"Petroleum Operations (Maritime Zone Moratorium) Act 54/2017","Belize","BLZ","Act","Energy;Environment","29/12/2017|Passed||","Link to full text (PDF)|http://extwprlegs1.fao.org/docs/pdf/blz175462.pdf|en","This law imposes a moratorium (de facto a ban) on the exploration for and exploitation of petroleum and other petroleum operations in the maritime zone of Belize, in order to prevent pollution from installation devices and vessels used in the exploration or exploitation of petroleum resources of the seabed and subsoil of the maritime zone."
"53",8680,"Law no 2018/18 regulating climate change actions","Benin","BEN","Law","Transport;Water","18/06/2018|Law passed||","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFFNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3260b7e9c9a4ea304f691e1ee8cb32d62737e990/loi-2018-18.pdf|fr","This law aims at preventing, protecting and managing the consequences of climate change over the people of Benin over the short, medium and long term. The law lays out a framework to take adaptation measures to protect the air, land, waters and other natural resources.<br>&nbsp;<br>The document further sets out a carbon tax. The modalities for this tax will be fixed by the annual finance law."
"54",4081,"Electricity Act of Bhutan","Bhutan","BTN","Law","Energy;Industry","26/07/2001|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdE1IIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--94f6b12e69b4eac3d0e722be102e2f5bf6508230/f|","The Electricity Act enables the restructuring of the power supply industry and the possible participation of the private sector, by providing mechanisms for licensing and regulating the operations of power companies. The establishment of the Bhutan Electricity Authority as an autonomous body is meant to ensure a transparent regulatory regime; the Authority also has the role of laying down the standards, codes, and specifications of the Electricity Supply Industry. The Electricity Act must define the roles and responsibilities of suppliers and protect the interests of the general public. Two of the core objectives of this act are to promote the development of renewable energy resources and to promote efficiency in management and service delivery.

Art. 60.3 states that the Minister may, on the recommendation of the Authority, direct Licensees to undertake certain public service obligation which may include obligations in relation to the use of renewable energy sources (60.3.v).

Art. 25.1. states that when granting or rejecting applications, the Authority shall take into consideration energy efficiency, as far as adequate for the project applied for."
"57",8836,"Water Act","Bhutan","BTN","Act","Water","31/05/2011|Law passed","Water Act|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcGdGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--121a36df3e096e8a512b3dc6204d534229c5702a/f|","This Act aims to ensure that the water resources of Bhutan are protected, conserved and managed in an economically efficient and environmentally sustainable manner and to establish suitable institutions for this task.

It establishes the National Environmental Authority (NEC) as the main authority responsible for the implementation of the Act and mandates the establishment of River Basin Committees. It also includes measures in case of water emergencies such as droughts and floods."
"58",8838,"Water Regulation of Bhutan 2014","Bhutan","BTN","Regulation/Rules","Water","01/01/2015|Law passed","Water Regulation|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdmtFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--603559e89dc655f1f12156fdfde09de90e74e0bb/f|","The Water Regulation aims to enforce the objectives and purposes of the <a href=""http://www.lse.ac.uk/GranthamInstitute/law/water-act/"">Water Act (2011)</a>, effectively implement it and to identify roles and responsibilities of designates Competent Authorities.

It provides details for the preparation of the National Integrated Water Resources Management Plan (NIWRMP) and the River Basin Management Plans (RBMP)."
"59",9535,"Forest and Nature Conservation Act 1995","Bhutan","BTN","Act","LULUCF","01/09/1995|Approved||","Full text  (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczRNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--42413093bdd45e43ae6e038c8fb51d6923751a3f/bhu7101.pdf|en","The Forest and Nature Conservation Act establishes measures to protect and ensure a sustainable use of forests, wildlife and related resources. Activities threatening forests, such as fires and felling, are prohibited unless duly authorised."
"65",10337,"Constitution of Bolivia (Spanish: Constitución Política del Estado)","Bolivia","BOL","Constitution","Economy-wide","07/02/2009|Constitution adopted||","Full text document|https://www.constituteproject.org/constitution/Bolivia_2009.pdf?lang=en|en","The Constitution of Bolivia was adopted in 2009. This Constitution was drafted in accordance with the then President, Evo Morales', political campaign promise to convene a new constituent assembly. In 2007, the assembly established the year before had prepared a draft of the current Constitution. Following the Constitutional Referendum of 2009, through which 61.43% out of over 3.5 million voters approved the project, the Constitution of Bolivia came into effect. The Constitution establishes that Bolivia is composed as a Unitary Social State of Pluri-National Communitarian Law (Estado Unitario Social de Derecho Plurinacional Comunitario) that is free, independent, sovereign, democratic, inter-cultural, decentralized and with autonomies.&nbsp;<br><br>In the Constitution’s preamble, there is a reference to the “strength of Pachamama”, Mother Nature. Moreover, it includes in its main text a provision specific to climate change. Article 407 of the Constitution states that rural development policy objectives include protecting agricultural and agro-industrial production from climate-related risks, as follows:&nbsp;<br>“Article 407. The objectives of the policy of the State for comprehensive rural development, in coordination with the autonomous and decentralized territorial entities, are the following: […] 4.To protect agricultural and agro-industrial production from natural disasters and inclement climate, and geological catastrophes. The law shall provide for the creation of agricultural insurance. […]”.&nbsp;"
"66",10633,"Law No. 777 Comprehensive State Planning System","Bolivia","BOL","Law","Economy-wide","21/01/2016|Approved||","full text pdf|https://www.uajms.edu.bo/dpu/wp-content/uploads/sites/26/2018/06/LEY-SPIE-N%c2%ba-777.pdf|es;Methodological Guidelines for the formulation of Territorial Comprehensive Development Plans for Living Well|http://www.planificacion.gob.bo/uploads/PTDI.pdf|es;Methodological Guidelines for the formulation of Sectoral Comprehensive Development Plans for Living Well|http://www.planificacion.gob.bo/uploads/PSDI_FINAL.pdf|es","The purpose of this Law is to establish the Comprehensive State Planning System (SPIE), which will lead the planning process for the comprehensive development of the Plurinational State of Bolivia, within the framework of Bien Vivir.<br><br>This law stipulates that the Comprehensive State Planning System incorporates risk management, climate change management and life systems management in an integrated manner, strengthening the resilience capacities of society and nature. It also states thate the Economic and Social Development Plan must contain elements of the land use planning, on which the Governing Body of the Comprehensive State Planning System prepares the general framework and the National Land Use Plan, with a focus on life systems management, risk management and climate change, in coordination with the competent entities, which should be gradually consolidated in a comprehensive development territorial planning process.<br><br>According to the law, the Sectoral Plans of Integral Develpoment (PSDI) take into account the territorialisation of actions in the jurisdictions of the territorial entities or other delimitations territorial, as appropriate, with a focus on life systems management, risk management and climate change. The Territorial Plan for Comprehensive Development of the autonomous territorial entity must contain the elements of human and comprehensive development, plural economy, and land use planning, with a focus on life systems management, risk management and climate change, consolidating gradually the articulation of comprehensive development planning with land use planning, in accordance with the central level of the State."
